DESIGNATIONS;PRIX
Cahiers de dessin 16 pages petit format;300
Cahiers de dessin 32 pages petit format;500
Cahiers de dessin 32 pages grand format;1000
Paquet de cahier de dessin petit format;2 000
Paquet de cahier de dessin grand format;3 500
Cahiers double ligne banane;200
Cahiers double ligne 32 pages;200
Paquet cahiers double ligne banane;4 000
Paquet de cahiers double ligne 32 pages;2 000
Cahiers de 50 pages;250
Cahiers de 100 pages;250
Cahiers de 120 pages;300
cahiers de 144 pages;300
Cahiers de 200 pages;350
Cahiers de 288 pages;600
Cahiers de 300 pages;600
Cahiers de 400 pages;1 000
Cahiers TP sans format 100 pages;700
Cahiers TP sans format 120 pages;700
Cahiers TP sans format 144 pages;750
Cahiers TP sans format 200 pages;750
Cahiers TP sans format 288 pages;1 300
Cahiers TP sans format 300 pages;1 500
Cahiers TP sans format 400 pages;1 800
Cahiers TP avec format 100 pages;700
Cahiers TP avec format 120 pages;700
Cahiers TP avec format 144 pages;750
Cahiers TP avec format 200 pages;750
Cahiers TP avec format 288 pages;1 300
Cahiers TP avec format 300 pages;1 500
Cahiers TP avec format 400 pages;1 800
Paquet de cahiers de 50 pages;3 000
Paquet de cahiers de 100 pages;2 000
Paquet de cahiers de 120 pages;2 500
Paquet de cahiers de 144 pages;1 500
Paquet de cahiers de 200 pages;1 700
Paquet de cahiers de 288 pages;2 800
Paquet de cahiers de 300 pages;3 000
Paquet de cahiers de 400 pages;3 000
Paquet de cahiers TP sans format 100 pages;4 500
Paquet de cahiers TP sans format 120 pages;6 000
Paquet de cahiers TP sans format 144 pages;3 500
Paquet de cahiers TP sans format 200 pages;3 500
Paquet de cahiers TP sans format 288 pages;6 000
Paquet de cahiers TP sans format 300 pages;6 500
Paquet de cahiers TP sans format 400 pages;5 000
Paquet de cahiers TP avec format 100 pages;4 500
Paquet de cahiers TP avec format 120 pages;6 000
Paquet de cahiers TP avec format 144 pages;3 500
paquet de cahiers TP avec format 200 pages;3 500
Paquet de cahiers TP avec format 288 pages;6 000
Paquet de cahiers TP avec format 300 pages;6 500
Paquet de cahiers TP avec format 400 pages;5 000
Leaves plain 20 LP;200
Leaves plain 40 LP;300
Leaves plain 60 LP;325
Leaves plain 80 LP;350
Leaves square 20 LS;200
Leaves square 40 LS;300
Leaves square 60 LS;325
Leaves square 80 LS;350
Ledger 200 petit format;1 000
Ledger 300 petit format;1 500
Ledger 400 petit format;1 700
Ledger 200 page grand format;1 300
Ledger 300 page grand format;1 700
Ledger 400 page grand format;2 000
Ledger 500 page grand format;2 500
Paquet de leaves plain 20 LP;2 000
Paquet de leaves plain 40 LP;2 000
Paquet de leaves plain 60 LP;2 500
Paquet de leaves plain 80 LP;1 500
Paquet de leaves square 20 LS;2 000
Paquet de leaves square 40 LS;2 000
Paquet de leaves square 60 LS;2 500
Paquet de leaves square 80 LS;1 500
Paquet de ledger 200 petit format;5 500
Paquet de ledger 300 petit format;6500
Paquet de ledger 400 petit format;3 500
Paquet de ledger 500 petit format;4 500
Paquet de ledger 200 page grand format;5 500
Paquet de ledger 300 page grand format;6 500
Paquet de ledger 400 page grand format;3 500
Paquet de ledger 500 page grand format;4 500
Red en blue lines 20 pages;200
Paquet Red en blue lines 20 pages;2 000
Red en blue lines 40 pages;250
Paquet Red en blue lines 40 pages;3 000
Cahier Registre d’appel anglophone;2500
Cahier de registre d’appel francophone;2500
Bloc note GM;3 000
Bloc note PM;1500
Cahier de texte (400 pages);4 000
Registre 1;1 500
registre 2;2 000
registre 3;2 500
registre 3;3 000
agrafeuses;1500
agrafe;500
Ardoise grand model plastique;1 000
Ardoise grand model en bois;1 000
Ardoise petit model plastique;500
Ardoise petit model en bois;500
Boite académique;500
Boite académique classe;2 000
bâtonnet;500
Bic bleu;200
Bic rouge;200
Bic noir;200
Bic vert;200
Schneider rouge;200
Schneider bleu;200
Schneider noir;200
Schneider vert;200
Boite de stylo Schneider bleu;5 500
Boite de Schneider rouge;5 500
Boite de Schneider vert;5 500
Boite de Schneider noir;5 500
Boite de stylo Bic bleu;4 500
Boite de stylo Bic rouge;4 500
Boite de stylo Bic noir;4 500
Boite de stylo Bic vert;4 500
Boite de craie blanche robert color;2 000
Boite de de couleur robert color;3 000
Boite de craie blanche royal color;1 500
Boite de de couleur royal;2 000
Couleur en plastique;500
Couleur feutre;1 500
Colle à papier BOBO grand model;1000
Colle à papier BOBO petit model;500
Calculatrice simple  (porpo);1000
Calculatrice scientifique;4 500
Couverture de cahier dur petit format;250
Couverture de cahier dure grand format;300
Couverture de cahier léger petit format;100
Couverture de cahier léger grand format;200
Couverture livre;500
Chemise;100
Sous chemise;50
Classeur;4 500
Classeur avec anneau;2 000
Chemise en plastique;3 500
Ciseau grand model;1500
Ciseau petit model;500
Corrector;1 000
Corrector Bic;500
Crayon 2b;100
Crayon hb;100
Crayon 2hb;100
Paquet de crayon HB;600
Paquet de crayon 2b;600
Paquet de crayon 2hb;600
Effaçoire;500
Enveloppe A4;50
Papier mine métré;100
Ram de format Double A;4 500
Ram de papier paper line;4 000
Gouache Giotto;1 500
Gomme maped;50
Gomme autre;100
Marqueur multicolore;500
Taille crayon petit model;50
Taille crayon grand model;100
Taille crayon moyen model;300
Papier canson;1 500
Règle graduée grand model;200
Règle graduée petit model;100
Règle graduée en bois;200
Patte a modelé;1 000
couleur crayon plastique;500
Paquet de couleur crayon en bois;1 500
scotch;200
Facturier A5;1 000
Facturier A4;1 800
BIC;200
Schneider;250
Kit de règle;1 500
trousse;1 000
Papier canson;1500
Grande équerre;1 500
Grand rapporteur;1 500
Grand compas;2 000
Grande règle;1 500
Enveloppe A3;4 000
Enveloppe A6 court;700
Enveloppe A6 long;1 000
Chemise en plastique;1 000