CLASSE;LIVRES;PRIX
FORM III;"INCLUSIVE EDUCATION : THE WAY TO GO (NYAA  
PUBLISHER)";1 800
FORM III;"French Language: FRENCH FORM 3 (AFRICA  
EDUCATION)";3 900
FORM III;"Logic: The Essential Logic for Ordinary Level  
(GRASSROOTS)";2 500
FORM III;"History: AN INTEGRATED HISTORY SINCE 1850 FOR Forms 
3, 4 & 5 (QUALITY PRINT)";6 000
FORM III;"NEW 21ST CENTURY PHYSICAL, HUMAN AND 
CAMEROON GEOGRAPHY (GRASSROOTS)";8 000
FORM III;International Studen’t Atlas (Forms III to V) (OXFORD);6 000
FORM III;"Citizenship: Citizenship Education FORMS 3,4,5  
(CATWA)";3 000
FORM III;"Food and Nutrition : CONTEXTUAL FOOD AND 
NUTRITION Form III (GRACE PUBLISHER)";4 500
FORM III;"Economics: ECONOMICS FOR GCE O/ A LEVEL AND  
ITVE (CATWA)";7 000
FORM III;"Commerce : SUCCESS IN COMMERCE FORMS 3,4,5  
(GRACE PUBLISHER)";7 000
FORM III;Pure Mathematics: PRIME MATHEMATICSFORM 3 (NMI);4 200
FORM III;Physics: PHYSICS FORM 3 (GRACE PUBLISHER);4 500
FORM III;"Chemistry : Understanding Chemistry FORMS 3,4,5  
(TEWA BOOKS)";6 500
FORM III;Biology : Understanding Biology (GREENWORLD);6 500
FORM III;Computer Science: PRIME ICT FORM 3 (NMI);4 000
FORM IV;English Language: prime, form 4  (NMI);4 200
FORM IV;The Crown of Thorns (Grace Publisher);3 500
FORM IV;French Language: FRENCH FORM 4 (MONDOUX);3  600 FCFA
FORM IV;"Logic: The Essential Logic for Ordinary Level  
(GRASSROOTS)";2 500
FORM IV;"History: AN INTEGRATED HISTORY SINCE 1850 FOR Forms 
3, 4 & 5 (QUALITY PRINT)";6 000
FORM IV;"Geography: 21st Century Applied Physical  
Geography and Mapwork for Forms 4 and 5 
(GRASSROOTS)";8 000
FORM IV;"CITIZENSHIP : the ADVOCATE for CITIZENSHIP EDUCATION 
FORMS 4 AND 5 (GRACE PUBLISHER)";4 000
FORM IV;"Geology: BASIC BIOLOGY FOR COLLEGE FORM 4 and 5  
 (TEWA BOOKS)";5 000
FORM IV;"Economics: ECONOMICS FOR GCE O LEVEL AND  
ITVE form 3,4 and 5 (CATWA)";7 000
FORM IV;Commerce : success in commerce forms 3, 4 and 5 (CATWA);4 000
FORM IV;"Pure Mathematics: PRIME MATHEMATICS FORM 4 AND  
5 (NMI)";5 500
FORM IV;"Additional Mathematics: Explaining Additional 
Mathematics (NAARAT)";9 000
FORM IV;Physics: STANDART PHYSICS FORM 4 (DOMINION);5 000
FORM IV;"Chemistry: Understanding Chemistry FORM 3,4 and 5  
(TEWA BOOKS)";6 500
FORM IV;"Human Biology: Understanding Biology Vol. 2  
(GREENWORLD)";6 500
FORM IV;Biology: Understanding Biology Vol. 1 form 4 and 5 (GREENWORLD);8 000
FORM IV;Food and Nutrition: CONTEXTUAL FOOD AND NUTRITION FORMS 4 AND 5(GRACE PUBLISHER);4 500
FORM IV;"Computer Science ; computer science form 4 (Africa Education)";4 500
FORM V;English Language: prime English form 5 (NMI);4 500
FORM V;"French Language: FRENCH FORM 5 
(AFRICAEDUCATION)";4 000
FORM V;"Logic: The Essential Logic for Ordinary Level  
(GRASSROOTS)";2 500
FORM V;"History: AN INTEGRATED HISTORY SINCE 1850 FOR Forms  
3, 4 & 5 (QUALITY PRINT)";6 000
FORM V;The Crown of Thorns (Grace Publisher);3 500
FORM V;Geography: new  21st Century physical, Human and cameroon Geography for forms 3,4 and 5 (GRASSROOTS);8 000
FORM V;"Geology: Basic Geology for colleges, forms 4 and 5
(TEWA Books)";5 000
FORM V;"CITIZENSHIP : THE ADVOCATE FOR CITIZENSHIP EDUCATION FORMS 4 and 5  
 (Grace Publisher)";4 000
FORM V;"Commerce : success in commerce forms 3, 4 and 5
 (Grace Publisher)";7 000
FORM V;"Mathematics: PRIME MATHEMATICS FORM 4 AND 5  
(NMI)";5 300
FORM V;"Additional Mathematics: Explaining Additional
Mathematics (NAARAT";9 000
FORM V;Physics : prime physics form 5 (NMI);5 000
FORM V;"Chemistry : Understanding Chemistry, forms 3, 4 and 5
(TEWA Books)";6 500
FORM V;Biology : Understanding Biology Vol.1 Forms 4 and 5 (Greenworld);8 000
FORM V;Human biology : Understanding Biology, forms 4 and 5 Vol. 2 (Greenworld);6 500
FORM V;Computer science :computer science form 5 (Africa Edu);5 000
LOWER & UPPER SIXTH;English Language: Mastering English (NMI);4 500
LOWER & UPPER SIXTH;The Lady With the Beard (CLE);2 500
LOWER & UPPER SIXTH;The General prologue and The Merchant’s Tale (NMI EDUCATION);1500
LOWER & UPPER SIXTH;Prose and poetry Appreciation Handbook (Presbook);3 500
LOWER & UPPER SIXTH;A Stylistic Guide to Literary Appreciation (CLE);3 000
LOWER & UPPER SIXTH;Apprenons le Français (ANUCAM);4 000
LOWER & UPPER SIXTH;Walaande. L’art de partager un mari (Proximité);3 000
LOWER & UPPER SIXTH;Le fils d’Agatha Moudio (CLE);3 200
LOWER & UPPER SIXTH;Certified Philosophy for Cameroon GCE (Catwa);7 500
LOWER & UPPER SIXTH;Comprehensive advanced level history (Grace publisher);9 500
LOWER & UPPER SIXTH;Complete physical Geography and contemporary Environmental Issues for Advanced Learners / Practical Geography (Grassroots publ);11 000
LOWER & UPPER SIXTH;Advanced integrated Human Geography (Greenworld);11 000
LOWER & UPPER SIXTH;Statistical Techniques and Fieldwork in Geography (Gassroots publ);4 500
LOWER & UPPER SIXTH;Advanced Level Pure Mathematics Made Easy (Grace publ);8 000
LOWER & UPPER SIXTH;Further Pure Mathematics Made Easy (Grace publ);9 000
LOWER & UPPER SIXTH;Mathematics : Mechanics and Probability (Oxford);10 000
LOWER & UPPER SIXTH;An Integrated Core Approach Demystifield Further Mechanics (Quality Print);4 000
LOWER & UPPER SIXTH;Advanced chemistry ( Oxford);15 500
LOWER & UPPER SIXTH;Comprehensive A Level Biology : Concepts and App (Presbook);9 000
LOWER & UPPER SIXTH;Geology for advanced level(Main textbook)  (Grassroots);8 500
LOWER & UPPER SIXTH;Panorama of advanced level. Practical manual ( Grassroots);2 500
LOWER & UPPER SIXTH;Advanced level ICT demystified (Grassroots);6 500
LOWER & UPPER SIXTH;advanced computer science demystifield( Grassroots);6 500
LOWER & UPPER SIXTH;Advanced economics (Destiny Print);6 000
LOWER & UPPER SIXTH;Explaining advanced level statistics ( Naarat pub);10 000
LOWER & UPPER SIXTH;Advanced level physics : A modern Approach (Grace pub);9 000
SIL;Ecriture : Graphisme Sil (AFRICA Education);1 200
SIL;Lecture : Syllabaire SIL Et CP (AFRICA EDUCATION);1 500
SIL;"Français : CHAMPIONS EN FRANÇAIS SIL
(HACHETTE\CLE)";1 500
SIL;"Français : LIVRET D’ACTIVITE DE FRANÇAIS, SIL
(HACHETTE/CLE)";1 300
SIL;Anglais: INCLUSIVE ENGLISH SIL (GLOBAL INDUSTRIES);1 800
SIL;"Anglais : LIVRET D’ACTIVITE D’ANGLAIS ((GLOBAL
INDUSTRIES)";1 000
SIL;Mathématiques : A VOS MATHS ! SIL (Nathan);1 500
SIL;Mathématique : LIVRET D’ACTIVITES DE MATHEMATIQUE SIL(NATHAN);1 000
SIL;"TIC (SIL/CP) : LES BRILLANTS EN TIC. SIL ET CP
(NMI EDUCATION)";1 500
SIL;Science et Technologie : MAJORS EN SCIENCE ET TECHNOLOGIE SIL (ASVA EDUCATION);1 500
SIL;EDUCATION A LA CITOYENNETE (SIL/CP) (NATHAN);1 500
CP;Ecriture : MON CAHIER DE GRAPHISME (COSMOS);1 200
CP;Lecture : Syllabaire SIL Et CP (AFRICA EDUCATION);1 500
CP;"Français : Champions en Français CP
(Hachette/CLE)";1 500
CP;"Français : LIVRET D’ACTIVITE DE FRANÇAIS CP,
CP(HACHETTE/CLE)";1 300
CP;"Anglais : LES BRILLIANTS EN ENGLAIS CP (NMI
EDUCATION)";1 800
CP;"Anglais : Livret d’activités d’Anglais CP (NMI
EDUCATION)";1 200
CP;Mathématiques : A VOS MATHS ! (NATHAN);1 500
CP;Mathématiques : LIVRET D’ACTIVITES DE MATHEMATIQUES CP (NATHAN);1 250
CP;"Science et Technologie : MAJORS EN SCIENCE
(ASVA)";1 500
CP;EDUCATION A LA CITOYENNETE (SIL/CP) (NATHAN);1 500
CP;TIC : LES BRILLANTS (SIL-CP) (NMI EDUCATION);1 500
CE I;Lecture : SYLLABAIRE CE1 ET CE2 (BELLES LETTRES);1 500
CE I;Français : FRANÇAIS CE1 (NATHAN);1 800
CE I;Français : LIVRET D’ACTIVITE DE FRANÇAIS CE1 (NATHAN);1 150
CE I;"Littérature : COMMENT ÇA VA BENJAMIN ? (AFRICA
EDUCATION)";1 000
CE I;Anglais : ANGLAIS CE1 (COSMOS);1 800
CE I;Anglais : LIVRET D’ACTIVITES D’ANGLAIS (COSMOS);1 100
CE I;"Mathématiques : MATHEMATIQUES CE1 (AFRICA
EDUCATION)";1 800
CE I;Mathématiques : LIVRET D’ACTIVITE DE MATHEMATIQUES CE1(AFRICA EDUCATION);1 150
CE I;"Science et Technologie : SCIENCE ET TECHNOLOGIE
CE1 (ASVA)";1 600
CE I;"Sciences Humaines et Sociales : HISTOIRE,
GEOGRAPHIE ET EDUCATION A LA CITOYENNETE CE1 (EDICEF)";1 800
CE I;TIC : INFORMATIQUE (CE1-CE2) (COSMOS);1 600
CE II;Lecture : Syllabaire CE1et CE2 (BELLES LETTRES);1 500
CE II;"Français : LES CHAMPIONS EN FRANÇAIS CE2
(EDICEF/CLE)";1 800
CE II;"Français : LIVRET D’ACTIVITE DE FRANÇAIS
(EDICEF/CLE)";1 300
CE II;Littérature : MON PROJET DE VIE (NMI EDUCATION);1 000
CE II;Anglais : LES BRILLANTS EN ANGLAIS (NMI Education);1 800
CE II;"Anglais : LIVRET D’ACTIVITES D’ANGLAIS CE2(NMI
EDUCATION)";1 150
CE II;Mathématiques : MATHEMATIQUES CE2 (NATHAN);1 800
CE II;Mathématiques : LIVRET D’ACTIVITE DE MATHEMATIQUES CE2(NATHAN);1 150
CE II;"Science et Technologie : SCIENCE ET TECHNOLOGIE
CE2 (COSMOS)";1 600
CE II;"Sciences Humaines et Sociales : HISTOIRE,
GEOGRAPHIE ET EDUCATION A LA CITOYENNETE CE2 (EDICEF)";1 800
CE II;TIC : INFORMATIQUE CE1 ET CE2 (COSMOS);1 600
CM I;"Français : CHAMPIONS EN FRANÇAIS CM1
EDICEF/CLE";1 900
CM I;"Français : LIVRET D’ACTIVITE DE FRANÇAIS
(EDICEF/CLE)";1 300
CM I;Littérature : LA NAISSANCE D’UNE GRANDE NATION LITTERATURE CM1(ECLOSION);1 000
CM I;Anglais : ENGLISH CM1(ASVA);1 900
CM I;Anglais : LIVRET D’ACTIVITES D’ANGLAIS CM1(NATHAN);1 150
CM I;Mathématiques : MATHEMATIQUES CM1(NATHAN);1 900
CM I;Mathématiques : Livret d’activité de Mathématiques CM1(Nathan);1 000
CM I;Science et Technologie : SCIENCES ET TECHNOLOGIES CM1(NMI EDUCATION);1 800
CM I;Sciences Humaines et Sociales : SCIENCES HUMAINES ET SOCIALES(EDICEF);1 850
CM I;TIC: TIC CM1 et CM2 (MONDOUX);1 800
CM II;Français : CHAMPIONS EN FRANÇAIS CM2 (EDICEF/CLE);1 900
CM II;"Français : LIVRET D’ACTIVITE DE FRANÇAIS CM1
(EDICEF/CLE)";1 300
CM II;Littérature : UNE NATION BENIE (ECLOSION);1 000
CM II;Anglais : ANGLAIS CM2 (COSMOS);1 900
CM II;"Anglais : LIVRET D’ACTIVITES D’ANGLAIS CM2
(COSMOS)";1 200
CM II;"Mathématiques : MATHEMATIQUES CM2 (AFRICA
EDUCATION)";1 900
CM II;Mathématiques : LIVRET D’ACTIVITE DE MATHEMATIQUES CM2 (AFRICA EDUCATION);1 250
CM II;"Science et Technologie : SCIENCE ET TECHNOLOGIE
(COSMOS)";1 800
CM II;TIC: TIC CM1-CM2 (Mondoux);1 800
CM II;Sciences Humaines et Sociales : SCIENCES HUMAINES ET SOCIALES (EDICEF);1 850
Nursery One;"Language: LANGUAGE ACTIVITY BOOK NURSERY 1
(ATEMEC)";1 000
Nursery One;Drawing and Coloring: INNOVATIVE DRAWING AND COLOURING (DESTINY PRINTS);1 000
Nursery One;"Mathematics: ELEMENTARY MATHEMATICS ACTIVITY
BOOK 1 (DOVE)";1 000
Nursery Two;"Language: LANGUAGE ACTIVITY BOOK NURSERY 2
(ATEMEC)";1 000
Nursery Two;Drawing and Coloring: ANUCAM DRAWING AND COLOURING, NURSERY 2 (ANUCAM);1 000
Nursery Two;"Mathematics : ELEMENTARY MATHEMATICS ACTIVITY
BOOK 2 (DOVE)";1 000
CLASS I;"Handwriting : HANDWRITING WORKBOOK CLASS 1
(ATEMEC)";1 500
CLASS I;English: WINNERS IN ENGLISH (NMI Education);1 800
CLASS I;"WORKBOOK OF ENGLISH CLASSES 1(NMI
EDUCATION)";1 000
CLASS I;"SOUNDS AND WORD BUILDING CLASSES 1AND
2(ATEMEC)";1 500
CLASS I;"French : PARLONS FRANÇAIS. LIVRE DE L’ELEVE 1
(COSMOS)";1 800
CLASS I;French: WORKBOOK OF FRENCH CLAS 1(COSMOS);1 100
CLASS I;"Mathematics : INNOVATIVE MATHEMATICS (DESTINY
PRINT)";1 800
CLASS I;"Mathematics : Workbook Mathematics of Class
(DESTINY Prints)";1 000
CLASS I;Science and Technology: STANDARD SCIENCE AND TECHNOLOGY (BECHACAM);1 500
CLASS I;Social Studies : THE GOOD CITIZEN. PUPIL’S BOOK CLASSES 1 AND 2 (COSMOS);1 500
CLASS I;"ICT : WINNERS IN ICT CLASSES 1 AND 2 (NMI
EDUCATION)";1 500
CLASS II;"Handwriting : EMERGENCE IN HANDWRITTING
(MONDOUX)";1 500
CLASS II;"SOUNDS AND WORD BUILDING CLASSES 1AND 2
(ATEMEC)";1 500
CLASS II;English: WINNERS CLASS 2 (NMI EDUCATION);1 800
CLASS II;"WORKBOOK OF ENGLISH CLASSES 2 (NMI
EDUCATION)";1 100
CLASS II;French : J’apprends le Français 2 (ANUCAM);1 800
CLASS II;"French : WORKBOOK OF FRENCH CLASS 2
(COSMOS)";1 100
CLASS II;"Mathematics : WINNERS IN MATHEMATICS (NMI
EDUCATION)";1 800
CLASS II;"WORKBOOK OF MATHEMATIQUES CLASS 2 (NMI
EDUCATION)";1 150
CLASS II;Science and Technology: STANDARD SCIENCE AND TECHNOLOGY (BECHACAM);1 500
CLASS II;"Social Studies : The Good Citizen Pupil’s Book
(Classes I and II)(Cosmos)";1 500
CLASS II;ICT: Winners CLASSES 1 AND 2 (NMI Education);1 500
CLASS III;"English Language : WINNERS IN ENGLISH Class 3
(NMI Education)";1 800
CLASS III;WORKBOOK OF ENGLISH CLASS 3 (NMI);1 150
CLASS III;"SOUND AND WORD BUILDIND CLASSES 3 AND 4
(ATEMEC)";1 500
CLASS III;"Literature : How are You Benjamin ? (Africa
Education)";1 000
CLASS III;"French Language : FRENCH CLASS 3(AFRICA
EDUCATION)";1 700
CLASS III;"WORKBOOK OF FRENCH CLASS 3 (AFRICA
EDUCATION)";1 150
CLASS III;Mathematics : MATHEMATICS CLASS 3 (ATEMEC);1 800
CLASS III;"Mathematics : WORKBOOK OF MATHEMATICS
CLASS 3(ATEMEC)";1 150
CLASS III;Science and Technology: SCIENCE AND TECHNOLOGY CLASS 3 (ATEMEC);1 600
CLASS III;"Social Studies : SOCIAL STUDIES CLASS 3 (GLOBAL
INDUSTRIES)";1 800
CLASS III;ICT: ICT Class 3 and Class 4 (ATEMEC);1 600
CLASS IV;"English Language : WINNERS IN ENGLISH Class 4
(NMI Education)";1 800
CLASS IV;WORKBOOK OF ENGLISH CLASS 4 (NMI);1 150
CLASS IV;"SOUND AND WORD BUILDIND CLASSES 3 AND 4
(ATEMEC)";1 500
CLASS IV;"Literature : BENJAMIN IS NOT A LITTLE BOY ! (Africa
Education)";1 000
CLASS IV;"French Language : FRENCH CLASS 4 (AFRICA
EDUCATION)";1 700
CLASS IV;"WORKBOOK OF FRENCH CLASS 4 (AFRICA
EDUCATION)";1150
CLASS IV;"Mathematics : INNOVATIVE MATHEMATICS CLASS 4
(DESTINY PRINT)";1 800
CLASS IV;"Mathematics : WORKBOOK OF MATHEMATICS
CLASS 4 (DESTINY PRINT)";1 100
CLASS IV;Science and Technology: SCIENCE AND TECHNOLOGY CLASS 4 (METROPOLITAIN);1 600
CLASS IV;"Social Studies : WINNER IN SOCIAL STUDIES CLASS 4
(NMI EDUCATION)";1 850
CLASS IV;ICT: ICT Class 3 and Class 4 (ATEMEC);1 600
CLASS V;English Language: ENGLISH CLASS 5 (LONGHORN);1 900
CLASS V;WORKBOOK OF ENGLISH CLASS 5 (LONGHORN);1 150
CLASS V;"Literature : STORIES AND WONDERS (NMI
EDUCATION)";1 000
CLASS V;French: FRENCH CLASS 5(AFRICA EDUCATION);1 900
CLASS V;"WORKBOOK OF FRENCH CLASS 5(AFRICA
EDUCATION)";1 150
CLASS V;Mathematics : MATHEMATICS CLASS 5(BECHACAM);1 900
CLASS V;Mathematics: WORKBOOK OF MATHEMATICS CLASS 5(BECHACAM);1 100
CLASS V;Science and Technology:  WINNERS IN SCIENCE AND TECHNOLOGY CLASS 5 (NMI EDUCATION);1 800
CLASS V;ICT : INFORMATION AND COMMUNICATION TECHNOLOGY (BECHACAM);1 800
CLASS V;SOCIAL STUDIES: WINNERS IN SOCIAL STUDIES CLASS 5 (NMI EDUCATION);1 800
CLASS VI;English Language: ENGLISH CLASS 6 (BECHACAM);1 900
CLASS VI;WORKBOOK OF ENGLISH CLASS 6 (BECHACAM);1 200
CLASS VI;Literature : WAKE UP ! (COSMOS);1 000
CLASS VI;"French Language: FRENCH CLASS 6(AFRICA
EDUCATION)";1 900
CLASS VI;"WORKBOOK OF FRENCH CLASS 6 (AFRICA
EDUCATION)";1 250
CLASS VI;Mathematics : MATHEMATICS CLASS 6(BECHACAM);1 900
CLASS VI;"Mathematics: WORKBOOK OF MATHEMATICS CLASS
6 (BECHACAM)";1150
CLASS VI;Science and Technology: SCIENCE AND TECHNOLOGY CLASS 6 (LEGEND PUBLISHERS);1 800
CLASS VI;ICT: ICT CLASS 5 AND CLASS 6(BECHACAM);1 800
CLASS VI;"Social Studies: WINNERS IN SOCIAL STUDIES CLASS
6(NMI EDUCATION)";1 850